id,account_id,month,aop_amount
1762,567122392682,2025-01-01,0.0
1763,567122392682,2025-02-01,0.0
1764,567122392682,2025-03-01,0.0
1777,569146552653,2024-04-01,0.0
1778,569146552653,2024-05-01,0.0
1779,569146552653,2024-06-01,0.0
1780,569146552653,2024-07-01,0.0
1781,569146552653,2024-08-01,0.0
1782,569146552653,2024-09-01,0.0
1783,569146552653,2024-10-01,0.0
1784,569146552653,2024-11-01,0.0
1785,569146552653,2024-12-01,0.0
1786,569146552653,2025-01-01,0.0
1787,569146552653,2025-02-01,0.0
1788,569146552653,2025-03-01,0.0
1933,613255583734,2024-04-01,0.0
1934,613255583734,2024-05-01,0.0
1935,613255583734,2024-06-01,0.0
1936,613255583734,2024-07-01,0.0
1937,613255583734,2024-08-01,0.0
1938,613255583734,2024-09-01,0.0
1939,613255583734,2024-10-01,0.0
1940,613255583734,2024-11-01,0.0
1941,613255583734,2024-12-01,0.0
1942,613255583734,2025-01-01,0.0
1943,613255583734,2025-02-01,0.0
1944,613255583734,2025-03-01,0.0
1957,620060638816,2024-04-01,0.0
1958,620060638816,2024-05-01,0.0
1959,620060638816,2024-06-01,0.0
1960,620060638816,2024-07-01,0.0
1961,620060638816,2024-08-01,0.0
1962,620060638816,2024-09-01,0.0
1963,620060638816,2024-10-01,0.0
1964,620060638816,2024-11-01,0.0
1965,620060638816,2024-12-01,0.0
1966,620060638816,2025-01-01,0.0
1967,620060638816,2025-02-01,0.0
1968,620060638816,2025-03-01,0.0
2017,637732598760,2024-04-01,0.0
2018,637732598760,2024-05-01,0.0
2019,637732598760,2024-06-01,0.0
2020,637732598760,2024-07-01,0.0
2021,637732598760,2024-08-01,0.0
2022,637732598760,2024-09-01,0.0
2023,637732598760,2024-10-01,0.0
2024,637732598760,2024-11-01,0.0
2025,637732598760,2024-12-01,0.0
2026,637732598760,2025-01-01,0.0
2027,637732598760,2025-02-01,0.0
2028,637732598760,2025-03-01,0.0
2173,671767570661,2024-04-01,0.0
2174,671767570661,2024-05-01,0.0
2175,671767570661,2024-06-01,0.0
2176,671767570661,2024-07-01,0.0
2177,671767570661,2024-08-01,0.0
2178,671767570661,2024-09-01,0.0
2179,671767570661,2024-10-01,0.0
2180,671767570661,2024-11-01,0.0
2181,671767570661,2024-12-01,0.0
2182,671767570661,2025-01-01,0.0
2183,671767570661,2025-02-01,0.0
2184,671767570661,2025-03-01,0.0
2389,755664431334,2024-04-01,0.0
2390,755664431334,2024-05-01,0.0
2391,755664431334,2024-06-01,0.0
2392,755664431334,2024-07-01,0.0
2393,755664431334,2024-08-01,0.0
2394,755664431334,2024-09-01,0.0
2395,755664431334,2024-10-01,0.0
2396,755664431334,2024-11-01,0.0
2397,755664431334,2024-12-01,0.0
2398,755664431334,2025-01-01,0.0
2399,755664431334,2025-02-01,0.0
2400,755664431334,2025-03-01,0.0
2593,850995531967,2024-04-01,0.0
2594,850995531967,2024-05-01,0.0
2595,850995531967,2024-06-01,0.0
2596,850995531967,2024-07-01,0.0
2597,850995531967,2024-08-01,0.0
2598,850995531967,2024-09-01,0.0
2599,850995531967,2024-10-01,0.0
2600,850995531967,2024-11-01,0.0
2601,850995531967,2024-12-01,0.0
2602,850995531967,2025-01-01,0.0
2603,850995531967,2025-02-01,0.0
2604,850995531967,2025-03-01,0.0
2641,854670157863,2024-04-01,0.0
2642,854670157863,2024-05-01,0.0
2643,854670157863,2024-06-01,0.0
2644,854670157863,2024-07-01,0.0
2645,854670157863,2024-08-01,0.0
2646,854670157863,2024-09-01,0.0
2647,854670157863,2024-10-01,0.0
