id,account_id,month,spend,service_type
1471,582604545400,2024-10-01,0.0,compute
1472,582604545400,2024-11-01,0.0,compute
1473,582604545400,2024-12-01,0.0,compute
1474,582604545400,2025-01-01,0.0,compute
1475,582604545400,2025-02-01,0.0,compute
1476,582604545400,2025-03-01,0.0,compute
1477,590183666588,2024-04-01,276400.0,compute
1478,590183666588,2024-05-01,284700.0,compute
1479,590183666588,2024-06-01,267700.0,compute
1480,590183666588,2024-07-01,274000.0,compute
1481,590183666588,2024-08-01,263700.0,compute
1482,590183666588,2024-09-01,275400.0,compute
1483,590183666588,2024-10-01,279800.0,compute
1484,590183666588,2024-11-01,285900.0,compute
1485,590183666588,2024-12-01,290200.0,compute
1486,590183666588,2025-01-01,320900.0,compute
1487,590183666588,2025-02-01,325400.0,compute
1488,590183666588,2025-03-01,329800.0,compute
1489,590183673148,2024-04-01,61100.0,compute
1490,590183673148,2024-05-01,50600.0,compute
1491,590183673148,2024-06-01,48800.0,compute
1492,590183673148,2024-07-01,48600.0,compute
1493,590183673148,2024-08-01,47600.0,compute
1494,590183673148,2024-09-01,48800.0,compute
1495,590183673148,2024-10-01,50100.0,compute
1496,590183673148,2024-11-01,49100.0,compute
1497,590183673148,2024-12-01,50500.0,compute
1498,590183673148,2025-01-01,51100.0,compute
1499,590183673148,2025-02-01,52100.0,compute
1500,590183673148,2025-03-01,53100.0,compute
1501,590183908249,2024-04-01,300.0,compute
1502,590183908249,2024-05-01,300.0,compute
1503,590183908249,2024-06-01,300.0,compute
1504,590183908249,2024-07-01,300.0,compute
1505,590183908249,2024-08-01,0.0,compute
1506,590183908249,2024-09-01,0.0,compute
1507,590183908249,2024-10-01,0.0,compute
1508,590183908249,2024-11-01,0.0,compute
1509,590183908249,2024-12-01,0.0,compute
1510,590183908249,2025-01-01,0.0,compute
1511,590183908249,2025-02-01,0.0,compute
1512,590183908249,2025-03-01,0.0,compute
1597,637423614657,2024-04-01,49900.0,compute
1598,637423614657,2024-05-01,32000.0,compute
1599,637423614657,2024-06-01,21300.0,compute
1600,637423614657,2024-07-01,21300.0,compute
1601,637423614657,2024-08-01,20100.0,compute
1602,637423614657,2024-09-01,20000.0,compute
1603,637423614657,2024-10-01,20700.0,compute
1604,637423614657,2024-11-01,20300.0,compute
1605,637423614657,2024-12-01,21000.0,compute
1606,637423614657,2025-01-01,21000.0,compute
1607,637423614657,2025-02-01,21000.0,compute
1608,637423614657,2025-03-01,21000.0,compute
1621,654654138046,2024-04-01,0.0,compute
1622,654654138046,2024-05-01,100.0,compute
1623,654654138046,2024-06-01,300.0,compute
1624,654654138046,2024-07-01,300.0,compute
1625,654654138046,2024-08-01,300.0,compute
1626,654654138046,2024-09-01,300.0,compute
1627,654654138046,2024-10-01,300.0,compute
1628,654654138046,2024-11-01,300.0,compute
1629,654654138046,2024-12-01,300.0,compute
1630,654654138046,2025-01-01,300.0,compute
1631,654654138046,2025-02-01,300.0,compute
1632,654654138046,2025-03-01,300.0,compute
1633,654654145181,2024-04-01,2100.0,compute
1634,654654145181,2024-05-01,2200.0,compute
1635,654654145181,2024-06-01,2400.0,compute
1636,654654145181,2024-07-01,2500.0,compute
1637,654654145181,2024-08-01,2300.0,compute
1638,654654145181,2024-09-01,2200.0,compute
1639,654654145181,2024-10-01,2200.0,compute
1640,654654145181,2024-11-01,2200.0,compute
1641,654654145181,2024-12-01,3000.0,compute
1642,654654145181,2025-01-01,3000.0,compute
1643,654654145181,2025-02-01,3000.0,compute
1644,654654145181,2025-03-01,3000.0,compute
1645,654654208887,2024-04-01,1500.0,compute
1646,654654208887,2024-05-01,2500.0,compute
1647,654654208887,2024-06-01,2500.0,compute
1648,654654208887,2024-07-01,2900.0,compute
1649,654654208887,2024-08-01,3500.0,compute
1650,654654208887,2024-09-01,3600.0,compute
1651,654654208887,2024-10-01,3900.0,compute
1652,654654208887,2024-11-01,3800.0,compute
1653,654654208887,2024-12-01,5000.0,compute
1654,654654208887,2025-01-01,5000.0,compute
1655,654654208887,2025-02-01,5000.0,compute
1656,654654208887,2025-03-01,5000.0,compute
1669,654654394550,2024-04-01,0.0,compute
1670,654654394550,2024-05-01,100.0,compute
1671,654654394550,2024-06-01,300.0,compute
1672,654654394550,2024-07-01,300.0,compute
1673,654654394550,2024-08-01,300.0,compute
1674,654654394550,2024-09-01,300.0,compute
1675,654654394550,2024-10-01,300.0,compute
1676,654654394550,2024-11-01,300.0,compute
1677,654654394550,2024-12-01,1000.0,compute
1678,654654394550,2025-01-01,1000.0,compute
1679,654654394550,2025-02-01,1000.0,compute
1680,654654394550,2025-03-01,1000.0,compute
1681,654654497161,2024-04-01,14300.0,compute
1682,654654497161,2024-05-01,15500.0,compute
1683,654654497161,2024-06-01,11900.0,compute
1684,654654497161,2024-07-01,11400.0,compute
1685,654654497161,2024-08-01,11600.0,compute
1686,654654497161,2024-09-01,12000.0,compute
1687,654654497161,2024-10-01,12000.0,compute
1688,654654497161,2024-11-01,11600.0,compute
1689,654654497161,2024-12-01,11900.0,compute
1690,654654497161,2025-01-01,12100.0,compute
1691,654654497161,2025-02-01,12400.0,compute
1692,654654497161,2025-03-01,12600.0,compute
1693,656952484900,2024-04-01,84500.0,compute
1694,656952484900,2024-05-01,85600.0,compute
1695,656952484900,2024-06-01,86600.0,compute
1696,656952484900,2024-07-01,88600.0,compute
1697,656952484900,2024-08-01,93300.0,compute
1698,656952484900,2024-09-01,92200.0,compute
1699,656952484900,2024-10-01,97500.0,compute
1700,656952484900,2024-11-01,100100.0,compute
1701,656952484900,2024-12-01,0.0,compute
1702,656952484900,2025-01-01,0.0,compute
1703,656952484900,2025-02-01,0.0,compute
1704,656952484900,2025-03-01,0.0,compute
1717,659606126372,2024-04-01,61400.0,compute
1718,659606126372,2024-05-01,64300.0,compute
1719,659606126372,2024-06-01,67000.0,compute
1720,659606126372,2024-07-01,57900.0,compute
1721,659606126372,2024-08-01,54500.0,compute
1722,659606126372,2024-09-01,56400.0,compute
1723,659606126372,2024-10-01,57200.0,compute
1724,659606126372,2024-11-01,51200.0,compute
1725,659606126372,2024-12-01,44300.0,compute
1726,659606126372,2025-01-01,45200.0,compute
1727,659606126372,2025-02-01,46100.0,compute
1728,659606126372,2025-03-01,47000.0,compute
1789,695745283037,2024-04-01,0.0,compute
1790,695745283037,2024-05-01,0.0,compute
1791,695745283037,2024-06-01,0.0,compute
1792,695745283037,2024-07-01,0.0,compute
1793,695745283037,2024-08-01,0.0,compute
1794,695745283037,2024-09-01,0.0,compute
1795,695745283037,2024-10-01,0.0,compute
1796,695745283037,2024-11-01,0.0,compute
1797,695745283037,2024-12-01,0.0,compute
1798,695745283037,2025-01-01,0.0,compute
1799,695745283037,2025-02-01,0.0,compute
1800,695745283037,2025-03-01,0.0,compute
1861,730335596554,2024-04-01,1700.0,compute
1862,730335596554,2024-05-01,3000.0,compute
1863,730335596554,2024-06-01,3100.0,compute
1864,730335596554,2024-07-01,3200.0,compute
1865,730335596554,2024-08-01,3300.0,compute
1866,730335596554,2024-09-01,3200.0,compute
1867,730335596554,2024-10-01,3400.0,compute
1868,730335596554,2024-11-01,3500.0,compute
1869,730335596554,2024-12-01,3500.0,compute
1870,730335596554,2025-01-01,3500.0,compute
1871,730335596554,2025-02-01,3600.0,compute
1872,730335596554,2025-03-01,3600.0,compute
1873,736121233725,2024-04-01,200.0,compute
1874,736121233725,2024-05-01,200.0,compute
1875,736121233725,2024-06-01,200.0,compute
1876,736121233725,2024-07-01,300.0,compute
1877,736121233725,2024-08-01,300.0,compute
1878,736121233725,2024-09-01,200.0,compute
1879,736121233725,2024-10-01,200.0,compute
1880,736121233725,2024-11-01,200.0,compute
1881,736121233725,2024-12-01,0.0,compute
1882,736121233725,2025-01-01,0.0,compute
1883,736121233725,2025-02-01,0.0,compute
1884,736121233725,2025-03-01,0.0,compute
1993,762730909359,2024-04-01,208200.0,compute
1994,762730909359,2024-05-01,213200.0,compute
1995,762730909359,2024-06-01,225400.0,compute
1996,762730909359,2024-07-01,268600.0,compute
1997,762730909359,2024-08-01,277400.0,compute
1998,762730909359,2024-09-01,300900.0,compute
1999,762730909359,2024-10-01,324900.0,compute
2000,762730909359,2024-11-01,322400.0,compute
2001,762730909359,2024-12-01,0.0,compute
2002,762730909359,2025-01-01,0.0,compute
2003,762730909359,2025-02-01,0.0,compute
2004,762730909359,2025-03-01,0.0,compute
2005,767397730150,2024-04-01,2900.0,compute
2006,767397730150,2024-05-01,3100.0,compute
2007,767397730150,2024-06-01,3000.0,compute
2008,767397730150,2024-07-01,3000.0,compute
2009,767397730150,2024-08-01,3000.0,compute
2010,767397730150,2024-09-01,3000.0,compute
2011,767397730150,2024-10-01,3100.0,compute
2012,767397730150,2024-11-01,3100.0,compute
2013,767397730150,2024-12-01,3100.0,compute
2014,767397730150,2025-01-01,3200.0,compute
2015,767397730150,2025-02-01,3200.0,compute
2016,767397730150,2025-03-01,3300.0,compute
2017,767397827620,2024-04-01,9300.0,compute
2018,767397827620,2024-05-01,9300.0,compute
2019,767397827620,2024-06-01,7000.0,compute
