account_id,month,spend
002637409966,Nov-2024,174653
304016915943,Nov-2024,162786
424503791295,Nov-2024,143030
899249751508,Nov-2024,129232
272415727726,Nov-2024,91978
075790327284,Nov-2024,98343
211125458732,Nov-2024,99838
381491835802,Nov-2024,72091
898496923608,Nov-2024,97146
445736908015,Nov-2024,105196
564188254156,Nov-2024,85878
705108899578,Nov-2024,50497
755560366148,Nov-2024,49449
811134095225,Nov-2024,53588
359716425895,Nov-2024,60768
003079193758,Nov-2024,47941
901553615594,Nov-2024,49105
210577074618,Nov-2024,28871
479671683529,Nov-2024,35972
423969094700,Nov-2024,34874
746682193773,Nov-2024,40696
761904723706,Nov-2024,32525
211125515568,Nov-2024,24600
647564693872,Nov-2024,12914
182401677120,Nov-2024,26184
975049957371,Nov-2024,18342
337891198417,Nov-2024,123655
752518464574,Nov-2024,19249
929265682896,Nov-2024,25410
021891570382,Nov-2024,14458
419830208690,Nov-2024,22946
753168370952,Nov-2024,20663
161115069565,Nov-2024,16979
233815244996,Nov-2024,19732
522974168642,Nov-2024,14656
28914776520,Nov-2024,14968
546818093346,Nov-2024,15160
758230397644,Nov-2024,17946
252197745876,Nov-2024,13925
576293063887,Nov-2024,12121
251917288737,Nov-2024,11807
474140895141,Nov-2024,11887
239103975135,Nov-2024,9846
789596305652,Nov-2024,7942
072401294672,Nov-2024,9487
495419344110,Nov-2024,9217
339712759199,Nov-2024,5286
340677782776,Nov-2024,6999
984308723723,Nov-2024,7558
407648374860,Nov-2024,6950
480732456233,Nov-2024,6568
885068115609,Nov-2024,5834
339712810712,Nov-2024,3452
318633126153,Nov-2024,6110
090436275138,Nov-2024,5800
952840895893,Nov-2024,5290
442447453008,Nov-2024,5391
66548792077,Nov-2024,1407
685585466397,Nov-2024,4727
337158390682,Nov-2024,4429
471112958605,Nov-2024,2143
698979518480,Nov-2024,4964
615069360012,Nov-2024,3950
997924011427,Nov-2024,4115
68930846606,Nov-2024,4135
131752971524,Nov-2024,803
66636274316,Nov-2024,3460
64619502227,Nov-2024,3270
562921704166,Nov-2024,3532
97001033170,Nov-2024,3234
848332057417,Nov-2024,3394
718893572916,Nov-2024,3199
914516902729,Nov-2024,2719
736384229724,Nov-2024,3231
127247839315,Nov-2024,2571
722152247093,Nov-2024,2550
664526282133,Nov-2024,2430
611670160261,Nov-2024,2106
439726107081,Nov-2024,1543
821240137883,Nov-2024,1765
469795226344,Nov-2024,3611
368920154232,Nov-2024,1761
135329050410,Nov-2024,1386
54736913503,Nov-2024,2253
824873459626,Nov-2024,1477
625612021127,Nov-2024,1506
465354398947,Nov-2024,1244
272968093320,Nov-2024,1236
494799526181,Nov-2024,1178
153518195166,Nov-2024,1001
481935107677,Nov-2024,914
505767364771,Nov-2024,276
389881277731,Nov-2024,789
17820698743,Nov-2024,1461
954976288980,Nov-2024,0
130653941854,Nov-2024,1561
630307967658,Nov-2024,1031
745098155683,Nov-2024,587
492902601864,Nov-2024,736
239666495852,Nov-2024,592
510772292268,Nov-2024,1102
367464822874,Nov-2024,177
218943325897,Nov-2024,324
658447621694,Nov-2024,398
541095382258,Nov-2024,1839
548411824430,Nov-2024,299
576911611801,Nov-2024,248
320811487590,Nov-2024,218
661338130494,Nov-2024,228
453914767997,Nov-2024,157
737499001343,Nov-2024,113
