account_id,account_name,hod_name,entity,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
064619502227,CentralToolsPlatform,Mukesh Meena, OCL ,"3,714.17907300","3,825.60444519","3,940.37257855","4,058.58375590","4,180.34126858","4,305.75150664","4,434.92405184","4,567.97177339","4,705.01092659","4,846.16125439","4,991.54609202","5,141.29247478"
054736913503,scp-mgv,Mukesh Meena, OCL ,"1,545.45150000","1,560.90601500","1,576.51507515","1,592.28022590","1,608.20302816","1,624.28505844","1,640.52790903","1,656.93318812","1,673.50252000","1,690.23754520","1,707.13992065","1,724.21131986"
841860372390,fastag issuer_prod_ocl,Mukesh Meena, OCL ,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000
127247839315,Sysops AWS,Mukesh Meena, OCL ,"3,200.00000000","3,200.00000000","3,200.00000000","3,200.00000000","3,200.00000000","3,200.00000000","3,200.00000000","3,200.00000000","3,200.00000000","3,200.00000000","3,200.00000000","3,200.00000000"
492902601864,ncmc_acquirer_ocl,Mukesh Meena, OCL ,800.00000000,800.00000000,800.00000000,800.00000000,800.00000000,800.00000000,800.00000000,800.00000000,800.00000000,800.00000000,700.00000000,800.00000000
576911611801,infra_experiment_non_prod_ocl,Mukesh Meena, OCL ,"1,000.00000000","1,000.00000000","1,000.00000000","1,000.00000000","1,000.00000000","1,000.00000000","1,000.00000000","1,000.00000000","1,000.00000000","1,000.00000000","1,000.00000000","1,000.00000000"
320811487590,dev-projects,Mukesh Meena, OCL ,300.00000000,300.00000000,300.00000000,300.00000000,300.00000000,300.00000000,300.00000000,300.00000000,300.00000000,300.00000000,300.00000000,300.00000000
116631508635,fastag_non prod_ocl,Mukesh Meena, OCL ,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000
DROCL,DR - overall (to align with new contract),Mukesh Meena, PML ,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
New 3,Confluent Kafka,Mukesh Meena,OCL,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
678670235450,authoriser,Mukesh Meena,OCL,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
