"Service","EC2-Other($)","EC2-Instances($)","Elastic Load Balancing($)","S3($)","Elastic MapReduce($)","Elastic Container Service for Kubernetes($)","Managed Streaming for Apache Kafka($)","VPC($)","Route 53($)","EC2 Container Registry (ECR)($)","GuardDuty($)","CloudWatch($)","QuickSight($)","Key Management Service($)","Cost Explorer($)","Service Catalog($)","API Gateway($)","Secrets Manager($)","SNS($)","Lambda($)","DynamoDB($)","Glacier($)","Step Functions($)","SQS($)","Simple Workflow Service($)","CloudShell($)","CloudTrail($)","Glue($)","CloudWatch Events($)","X-Ray($)","CloudFormation($)","Total costs($)"
"2024-05-18","1078.255560923","1067.7274657323","153.0693716412","51.1631282323","16.786011192","16.8","15.6042219088","13.9743413877","13.5771264","6.2014545312","","2.7430980099","1.548387072","0.207168384","0.06","0","0.0015021573","0.00225","0.0000256802","0.0000156695","0.0001346625","0.0000031904","0.000000412","0.0000007728","0.0000006697","","0","0","0","","","2437.7212686288"
"2024-05-19","1068.5809186405","1066.4702974905","60.9202050152","50.918874407","16.468716018","16.8","15.6015692768","13.9573947946","13.3778784","6.2014545312","","2.7769951976","1.548387072","0.207822384","0.06","0","0.0015021561","0.00198","0.0000298133","0.0000139363","0.0001539","0.0000031917","0.0000003486","0.0000005796","0.0000006403","","0","0","0","","","2333.8941977933"
"2024-05-20","1074.7873267174","1072.2318030589","65.7880683005","50.9244718595","16.45168263","16.8","15.6013205974","13.9986180303","13.530256","6.2274359952","","2.8073521605","1.548387072","0.207570384","0.2","0","0.0014495136","0.00234","0.0000298024","0.0000156199","0.0001529025","0.0000030397","0.0000003974","0.000000805","0.0000006984","","0","0","0","","","2351.1082855846"
"2024-05-21","1067.7096604357","1071.150689462","86.1520667232","51.3580988764","16.489333278","16.8","15.6034910613","14.1029945256","13.634836","6.3140908877","","2.8519052546","1.548387072","0.204390384","0.11","0","0.0016039405","0.00207","0.0000262219","0.000013541","0.00006954","0.0000029722","0.0000003818","0.0000007728","0.0000006984","","0","0","0","","","2364.0337320291"
"2024-05-22","1084.7409817207","1070.5557146098","84.2603815577","51.3815176964","16.514482092","16.8","15.604446505","14.0626226969","13.6059172","6.3948302349","","2.8761087779","1.548387072","0.203733384","0.11","0","0.0015197073","0.00216","0.0000281176","0.0000139889","0.0000514425","0.0000031252","0.0000003818","0.0000007728","0.0000006693","","0","0","0","","","2378.6629017527"
"2024-05-23","1079.0429967897","1065.7344231067","70.527501616","51.4343491342","16.465516074","16.8","15.5885917944","14.0866548026","13.6056168","6.4793569704","","2.8550276624","1.548387072","0.206163384","0.11","0","0.0015161968","0.00216","0.0000351568","0.0000139478","0.00007353","0.0000030289","0.0000003944","0.0000006762","0.0000006406","","0","0","0","","","2354.4883887779"
"2024-05-24","1030.3542498827","1048.7545023889","66.841874576","51.4066296865","17.6789481924","16.8","15.5878062044","14.0003696565","13.5928872","6.5307179505","","2.8309952373","1.548387072","0.205416384","0.11","0","0.0014635503","0.00189","0.0000228522","0.000014769","0.00003762","0.0000029376","0.0000003456","0.0000007406","0.0000006405","","0","0","0","","","2286.246217887"
"2024-05-25","1026.3305489135","1045.9886862684","63.8306581823","51.474801227","19.9264734132","16.8","15.5877161111","13.9704983811","13.4900584","6.5361771402","","2.8156923242","1.548387072","0.205989384","0.06","0","0.0014846094","0.0018","0.0000283341","0.0000142014","0.0000662625","0.0000031021","0.0000003808","0.000000644","0.0000006111","","0","0","0","","","2278.5690849624"
"2024-05-26","1035.8925638078","1045.2641617553","62.3506339626","51.6545315523","20.7771699576","16.8","15.5869277983","13.9351210939","13.4249096","6.5365085544","","2.8170609081","1.548387072","0.205050384","0.06","0","0.0014354739","0.00198","0.0000236275","0.0000149047","0.0000340575","0.0000030384","0.000000331","0.0000006118","0.0000006403","","0","0","0","","","2286.8565191314"
"2024-05-27","1010.6718811324","1025.1214211323","70.3190697619","50.1565512815","20.0544663636","16.8","15.5877679297","14.1050354337","13.524858","6.5570850747","","3.1833524672","1.548387072","0.205686384","0.21","0","0.0014565325","0.00189","0.0000236601","0.0000141212","0.0000463125","0.0000030929","0.0000003642","0.0000007406","0.0000006113","","0","0","0","","","2248.0489974683"
