"Service","VPC($)","EC2-Instances($)","EC2-Other($)","Cost Explorer($)","Service Catalog($)","Key Management Service($)","S3($)","Secrets Manager($)","Simple Workflow Service($)","Step Functions($)","Glacier($)","CloudTrail($)","Glue($)","SNS($)","SQS($)","CloudFormation($)","Total costs($)"
"2024-07-29","6.2183389699","3.1028787169","2.3359832398","0.01","0.0161","0.00126","0.0017670132","0.000095","0.0000019724","0.0000017829","","0","0","0","0","","11.6864266951"
"2024-07-30","6.2475887069","3.0598084871","2.3404953501","0.01","0.0133","0.00126","0.001426958","0.000085","0.0000014793","0.0000017948","","0","0","0","0","","11.6739677762"
"2024-07-31","6.2540284791","3.1027793511","2.3407377459","0.01","0.014","0.001512","0.0016024024","0.00009","0.0000019724","0.0000017829","","0","0","0","0","","11.7247537338"
"2024-08-01","6.0748833052","3.1027260033","2.3389456397","0.01","0","0.000858","0.0016069966","0.000065","0.0000014793","0.0000020438","","0","0","0","0","","11.5290884679"
"2024-08-02","6.1973470962","3.1028430867","2.3368548964","0.01","0","0.001404","0.0021220838","0.00012","0.0000014793","0.0000015329","","0","0","0","0","","11.6506941753"
"2024-08-03","6.1592809944","3.1027736727","2.341485796","0.01","0","0.001404","0.0016769937","0.00009","0.0000019724","0.0000017825","","0","0","0","0","","11.6167152117"
"2024-08-04","6.1372633891","3.1025126907","2.343673853","0.01","0","0.001404","0.001356957","0.000085","0.0000014793","0.0000017944","","0","0","0","0","","11.5962991635"
"2024-08-05","6.197181268","3.1030262891","2.3443923448","0.01","0","0.00126","0.0015169761","0.000085","0.0000019724","0.0000017829","","0","0","0","0","","11.6574656333"
"2024-08-06","6.1968763549","3.1034453721","2.3464811106","0.01","0","0.001302","0.0016074014","0.000085","0.0000014793","0.0000017948","","0","0","0","0","","11.6598005131"
"2024-08-07","6.1835680941","3.1033697393","2.3483331324","0.01","0","0.001512","0.0013069169","0.00009","0.0000014793","0.0000017829","","0","0","0","0","","11.6481831449"
"2024-08-08","6.1759488968","3.10320292","2.3528251625","0.01","0","0.001512","0.001806929","0.0001","0.0000019724","0.0000017948","","0","0","0","0","","11.6453996755"
"2024-08-09","6.1727503672","3.1032897836","2.3623390109","0.01","0","0.00147","0.0016669864","0.00009","0.0000014793","0.0000017829","","0","0","0","0","","11.6516094103"
"2024-08-10","6.1441470601","3.1032606553","2.3690763867","0.01","0","0.00126","0.001476881","0.000085","0.0000019724","0.0000017948","","0","0","0","0","","11.6293097503"
"2024-08-11","6.1340741785","3.10310613","2.3671650013","0.01","0","0.001218","0.0020620281","0.00009","0.0000014793","0.0000017829","","0","0","0","0","","11.6177186001"
"2024-08-12","6.1759754425","3.1036969859","2.3577100778","0.01","0","0.001512","0.0014719343","0.000085","0.0000019724","0.0000020444","","0","0","0","0","","11.6504554573"
"2024-08-13","6.1772397309","3.1026232172","2.3534543126","","0.014","0.001512","0.001562365","0.000085","0.0000014793","0.0000015333","","0","0","0","0","","11.6504796383"
"2024-08-14","6.1687952478","3.1011152989","2.3500327068","0.01","0.0133","0.001512","0.0016369612","0.00009","0.0000019724","0.0000020438","","0","0","0","0","","11.6464862309"
"2024-08-15","6.1352313766","3.1006768267","2.3424676397","0.01","0.0119","0.001512","0.0016369616","0.00008","0.0000014793","0.0000020436","","0","0","0","0","","11.6035083275"
"2024-08-16","6.1652899043","3.058065024","2.3410814559","0.01","0.0168","0.001512","0.0018920013","0.000095","0.0000019724","0.0000015327","","0","0","0","0","","11.5947388906"
"2024-08-17","6.143290088","3.1008633398","2.3338088727","0.01","0.0126","0.001512","0.0014615225","0.00008","0.0000019724","0.0000020438","","0","0","0","0","","11.6036198392"
"2024-08-18","6.1360289133","3.1008361627","2.3296503978","0.01","0.0133","0.001512","0.0012969076","0.00008","0.0000014793","0.0000020438","","0","0","0","0","","11.5927079045"
"2024-08-19","6.1423508892","3.1010088269","2.3284792053","0.01","0.0133","0.001512","0.0015515359","0.00008","0.0000019724","0.0000015329","","0","0","0","0","","11.5982859626"
"2024-08-20","6.176014593","3.1012064391","2.3314633914","0.01","0.0203","0.001512","0.0021520463","0.00012","0.0000014793","0.0000020438","","0","0","0","0","","11.6427719929"
"2024-08-21","6.1854517102","3.1014760204","2.3420368652","0.01","0.0182","0.001512","0.0019766084","0.000115","0.0000019724","0.000002044","","0","0","0","0","","11.6607722206"
"2024-08-22","6.1776667699","3.1004058605","2.3352081622","0.01","0.0196","0.001512","0.0020620282","0.000115","0.0000014793","0.0000015333","","0","0","0","0","","11.6465728334"
"2024-08-23","6.177645973","3.1100583338","2.4373724131","0.01","0.0196","0.001512","0.0021466319","0.00012","0.0000019724","0.0000020444","","0","0","0","0","","11.7584593686"
"2024-08-24","6.1442441964","3.1072624174","2.390642457","0.01","0.021","0.001512","0.0025771118","0.000145","0.0000019724","0.0000020444","","0","0","0","0","","11.6773871994"
"2024-08-25","6.1409907535","3.1009759729","2.3894626668","0.01","0.0182","0.00147","0.0024920973","0.000145","0.0000019724","0.0000017946","","0","0","0","0","","11.6637402575"
"2024-08-26","6.1697547755","3.1013876563","2.3935638306","0.01","0.0175","0.001512","0.0019766051","0.00012","0.0000014793","0.0000017829","","0","0","0","0","","11.6958181297"
"2024-08-27","6.1719957745","3.1019898147","2.3975715205","0.01","0.0196","0.00147","0.0023220705","0.00012","0.0000019724","0.0000020444","","0","0","0","0","","11.705073197"
"2024-08-28","6.171340587","3.1015845527","2.3744355963","0.01","0.0175","0.001428","0.0021466319","0.00011","0.0000019724","0.0000015333","","0","0","0","0","","11.6785488736"
"2024-08-29","6.171877054","3.1056651836","2.3734413437","0.01","0.0161","0.00126","0.0018174027","0.000095","0.0000014793","0.000002044","","0","0","0","0","","11.6802595073"
"2024-08-30","6.1746277474","3.0586962697","2.3685413053","0.01","0.0105","0.001428","0.0011372953","0.00006","0.0000014793","0.0000015333","","0","0","0","0","","11.6249936303"
"2024-08-31","6.1495337961","3.1015744772","2.3720723141","0.01","0.0063","0.001512","0.0007918294","0.00004","0.0000014793","0.0000015329","","0","0","0","0","","11.641827429"
"2024-09-01","6.0276286904","3.0584246386","2.4040280663","0.01","0","0.001404","0.001052282","0.000055","0.0000014793","0.0000015327","","0","0","0","0","","11.5025956893"
"2024-09-02","6.1865610509","3.1022465027","2.4049805184","0.01","0","0.001404","0.0006272145","0.00003","0.0000019724","0.0000015333","","0","0","0","0","","11.7058527922"
"2024-09-03","6.178407257","3.1022353368","2.4139047042","","0","0.001404","0.0007122279","0.000035","0.0000014793","0.0000017948","","0","0","0","0","","11.6967018"
"2024-09-04","6.1737419177","3.1018597045","2.4172747205","0.01","0","0.001512","0.0007072257","0.00003","0.0000014793","0.0000015333","","0","0","0","0","","11.705128581"
"2024-09-05","6.1749088179","3.1020536262","2.4130289567","0.01","0","0.001512","0.0006168004","0.00003","0.0000014793","0.0000012718","","0","0","0","0","","11.7021529523"
