"Service","EC2-Other($)","EC2-Instances($)","VPC($)","Elastic Container Service for Kubernetes($)","Elastic Load Balancing($)","CloudWatch($)","Secrets Manager($)","Cost Explorer($)","Service Catalog($)","EC2 Container Registry (ECR)($)","Route 53($)","S3($)","Key Management Service($)","SQS($)","SNS($)","Step Functions($)","Glacier($)","Simple Workflow Service($)","DynamoDB($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-06-28","15.1907212431","8.4425136269","5.4016017319","2.4","1.8319448516","1.8682161667","0.0835649992","0.05","0.0021","0.0164882743","","0.0042489813","0.002385","0.0001488","0","0.000000458","0.000002773","0.000000783","0.0000000528","","0","0","","35.2939377418"
"2024-06-29","15.0917197517","8.4286369924","5.4004506485","2.4","1.8300670769","1.8671483069","0.0836799992","0.05","0.0021","0.0171706776","","0.0040605996","0.002484","0.0001488","0","0.000000472","0.0000027722","0.0000008352","0.0000000528","","0","0","","35.177670985"
"2024-06-30","15.0916940346","8.415255512","5.400450553","2.4","1.8304241583","1.873569406","0.0836799992","0.05","0.0021","0.0171706776","","0.0038034428","0.002484","0.0001536","0","0.000000384","0.0000028386","0.0000008352","0.0000000528","","0","0","","35.1707894941"
"2024-07-01","14.8751201787","8.4287244548","5.4004034724","2.4","1.8335578089","1.8577954734","0.0810993536","0.05","0","0.016616784","0.2","0.0041919247","0.002376","0.0001488","0","0.000000472","0.0000027592","0.0000006786","0.0000000504","","0","0","","35.1500382107"
"2024-07-02","14.8881849698","8.5360293103","5.4003910143","2.4","1.8351550498","1.8594607157","0.0809843536","0.05","0","0.016616784","","0.0041919247","0.00231","0.0001584","0","0.000000398","0.0000027436","0.0000008091","0.0000000504","","0","0","","35.0734865233"
"2024-07-03","14.8949974474","8.4824352527","5.4003859505","2.4","1.8333382233","1.8560572044","0.0809843536","0.05","0","0.016616784","","0.0041919251","0.002244","0.0001488","0","0.000000458","0.0000026618","0.0000008091","0.0000000504","","0","0","","35.0214039203"
"2024-07-04","14.8774809267","8.4956340727","5.4004353786","2.4","1.8288246879","1.8806327918","0.0798343536","0.06","0","0.016616784","","0.0037668583","0.002376","0.0001296","0","0.000000413","0.0000027479","0.0000007308","0.0000000504","","0","0","","35.0457353957"
"2024-07-05","14.8867861471","8.4847182169","5.4003394007","2.4","1.82993295","1.8909886489","0.0800643536","0.05","0","0.016616784","","0.0035118178","0.002376","0.0001104","0","0.000000312","0.0000026394","0.0000005481","0.0000000504","","0","0","","35.0454482689"
"2024-07-06","14.885755076","8.4285971348","5.4003407101","2.4","1.8297148289","1.8555906627","0.0767235472","0.05","0","0.016616784","","0.003263081","0.00231","0.0000864","0","0.000000315","0.000002572","0.0000005481","0.0000000504","","0","0","","34.9490017102"
"2024-07-07","14.8860424637","8.4286242076","5.4003553868","2.4","1.8343487698","1.8562403727","0.0800643536","0.05","0","0.016616784","","0.0033417906","0.002376","0.0001104","0","0.000000345","0.0000026441","0.0000005742","0.0000000504","","0","0","","34.9581241425"
"2024-07-08","14.8863057305","8.5223723966","5.4007482607","2.4","1.8310918528","1.8583320566","0.0800643536","0.05","0","0.016616784","","0.003426804","0.00231","0.0001008","0","0.000000327","0.0000025455","0.0000005742","0.0000000504","","0","0","","35.0513725359"
