"Service","EC2-Instances($)","EC2-Other($)","VPC($)","CloudWatch($)","ElastiCache($)","OpenSearch Service($)","Elastic Load Balancing($)","S3($)","Secrets Manager($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","EC2 Container Registry (ECR)($)","Key Management Service($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Lambda($)","SNS($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-12-13","12.664837755","8.9703399811","13.1799332061","9.199319284","1.9681558986","","1.7293424958","1.4003097089","0.6225598384","","0.0000000714","0.1299677304","0.034955064","0.01","","0.0035","0.0000008167","0.0000539414","0.0000044","0.0000014349","0.0000017542","0","0","","49.9132833809"
"2024-12-14","12.6647916044","8.9573583467","13.179947743","9.1993188935","1.9681558682","","1.7264322867","1.366028763","0.6220698384","","0.0000000701","0.1299677304","0.034931064","0.01","","0.0042","0.0000006167","0.0000533313","0.0000044","0.0000019128","0.0000017591","0","0","","49.8632642283"
"2024-12-15","12.6647943944","8.9497046248","13.1799615445","9.1993177174","1.9681558704","","1.7259202819","1.2504084975","0.6223148384","","0.0000000701","0.1299677304","0.034979064","0.01","","0.0035","","0.0000535","0.0000044","0.0000019128","0.0000017542","0","0","","49.7390862008"
"2024-12-16","12.6648058626","8.9845839905","13.1799372655","9.1993177174","1.968155619","","1.7293839498","1.054907227","0.6223148384","","0.0000000714","0.1299677304","0.034955064","0.01","","0.0028","","0.000053","0.0000048","0.0000014349","0.0000017591","0","0","","49.58119033"
"2024-12-17","12.6648192305","8.9860637448","13.1799567131","9.1993177174","1.9681561358","","1.7280050671","1.703538424","0.6223148384","","0.0000000714","0.1299677304","0.034955064","","","0.0035","","0.0000485","0.000004","0.0000019128","0.0000017542","0","0","","50.2206509039"
"2024-12-18","12.6648226569","8.9933903724","13.1799461252","9.1993177174","1.9681571514","","1.7277247803","1.5238641908","0.5962633868","","0.0000000701","0.1299677304","0.034931064","0.01","","0.0035","","0.0000535","0.0000044","0.0000014349","0.0000015057","0","0","","50.0319460863"
"2024-12-19","12.664795959","9.0002301521","13.1799703474","9.1993177174","1.9681577464","","1.7279654772","1.5344560057","0.6220698384","","0.0000000701","0.1299677304","0.034955064","0.01","","0.0042","","0.0000485","0.0000044","0.0000014349","0.0000020076","0","0","","50.0761424506"
"2024-12-20","12.6647945975","9.0092906841","13.1799555596","9.2494081099","1.9681582986","","1.7292263135","1.4926646415","0.6223148384","","0.0000000701","0.1299677304","0.034931064","0.01","","0.0035","0.0000002063","0.0000521098","0.0000036","0.0000019128","0.0000015057","0","0","","50.0942712422"
"2024-12-21","12.6648023002","9.0002389921","13.1799643419","9.2857200441","1.968158656","","1.7276650063","1.4258436249","0.5965083868","","0.0000000701","0.1299677304","0.034931064","0.01","","0.0035","0.0000032917","0.0000506019","0.000004","0.0000014349","0.0000017576","0","0","","50.0273613029"
"2024-12-22","12.6648088581","8.9867884644","13.1799517143","9.2857177194","1.9681585736","","1.7269012511","0.3452732327","0.6223148384","","0.0000000714","0.1299677304","0.034931064","0.01","","0.0035","","0.000045","0.0000044","0.0000019128","0.0000017542","0","0","","48.9583665848"
