"Service","EC2-Instances($)","EC2-Other($)","Elastic MapReduce($)","ElastiCache($)","Relational Database Service($)","S3($)","CloudWatch($)","VPC($)","Elastic Load Balancing($)","Route 53($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","EC2 Container Registry (ECR)($)","Key Management Service($)","Secrets Manager($)","Cost Explorer($)","Service Catalog($)","SQS($)","Lambda($)","SNS($)","Simple Workflow Service($)","Step Functions($)","Systems Manager($)","CodeArtifact($)","CloudShell($)","CloudTrail($)","Glue($)","X-Ray($)","CloudFormation($)","Total costs($)"
"2024-05-21","1388.2888749271","710.9449086818","255.8976","40.5566245744","56.1896186188","6.5959703441","10.2960223397","12.251488943","7.4037310731","9.8736576","4.8","0.6393601408","0.4023762914","0.299442576","0.1578187096","0.01","0","0.0000408","0.0000059062","0","0.0000014349","0.0000007602","","0","","0","0","","","2504.6075437211"
"2024-05-22","1348.2619579076","709.0331986848","250.944056328","40.5565051848","56.1896185257","7.1308495908","10.1273537445","12.2606000915","7.4216580865","9.7473672","4.8","0.6393601408","0.4100287975","0.306111576","0.1507370967","0.01","0","0.00011","0.0000060209","0","0.0000019128","0.0000010136","","0","","0","0","","","2457.9895219025"
"2024-05-23","1022.1460567802","669.9260034751","150.8149553792","40.5565051848","56.1896185238","7.4454297565","8.8222406511","12.4484084778","7.8262651291","9.3482296","4.8","0.63936014","0.4133475063","0.302535576","0.1578287096","0.01","0","0.0001444","0.0000057042","0","0.0000019128","0.0000010136","","0","","0","0","","","1991.8469379201"
"2024-05-24","1063.0617450023","684.1191722739","180.768","40.556505376","56.1896185268","7.8347202906","8.7542719306","12.292382536","8.0555902845","9.5334292","4.8","0.6393601397","0.4147390051","0.300942576","0.1577787096","0.01","0","0.0000904","0.0000057583","0.0000000258","0.0000014349","0.0000007602","","0","","0","0","","","2077.4883542303"
"2024-05-25","1058.2857906568","673.075834396","180.768","40.5564792276","56.189618522","7.7801638706","8.6783006441","12.2452675934","7.8537091081","9.5325572","4.8","0.6393601397","0.4169937552","0.299484576","0.1572287096","0.01","0","0.00004","0.0000056521","0","0.0000019128","0.0000007602","","0","","0","0","","","2061.2888367242"
"2024-05-26","1057.8837364241","673.9809117791","180.768","40.5561205956","56.1896185225","8.0742073813","8.711473726","12.2487264758","7.88909727","9.52882","4.8","1.0524762827","0.4169937552","0.301122576","0.1571837096","0.01","0.0014","0.00004","0.0000062062","0","0.0000014349","0.0000010136","","0","","0","0","","","2062.5699371526"
"2024-05-27","1058.5881758444","677.0535619583","180.768","40.555593758","56.1896185333","8.44716019","8.7872077518","12.26801782","7.9009326449","9.5349452","4.8","1.3018428321","0.4187472092","0.299655576","0.1572287096","0.01","0.0014","0.00004","0.000005998","0","0.0000019128","0.0000010136","","0","","0","0","","","2067.082136952"
"2024-05-28","1058.4818098393","675.3508687796","180.768","40.5555699038","56.1896185251","8.7153853019","8.8034004089","12.2754247295","7.9439479213","9.535906","4.8","1.3191737499","0.4223364659","0.301590576","0.1570987096","0.01","0.0014","0.0000732","0.0000059375","0","0.0000019128","0.0000007602","","0","","0","0","","","2065.6316127213"
"2024-05-29","1058.9819392918","675.5441193683","180.768","40.5553149874","56.1896185365","9.1211505487","8.9234900723","12.2937088868","7.901125902","9.5380168","4.8","1.3596154274","0.4256279503","0.301326576","0.1569987096","0.01","0.0014","0.0001232","0.0000060646","0","0.0000014349","0.0000010136","","0","","0","0","","","2066.8715847702"
"2024-05-30","1059.0385157796","678.9123371578","180.768","40.5549591","56.189618516","9.3628400489","8.9825272929","12.3347590061","7.9973919728","9.5357004","4.8","1.47846541","0.4269184699","0.301476576","0.1572287096","0.01","0.0014","0.0000652074","0.0000059771","0.0000001599","0.0000019128","0.0000010136","","0","","0","0","","","2070.8522127104"
"2024-05-31","1058.9209826641","679.5043139608","180.768","40.5549591","56.1896185296","9.5981691027","8.8461822913","12.256882078","8.0642608023","9.6539156","4.8","1.4761626998","0.4271946518","0.301563576","0.1570987096","0.01","0.0014","0.0000480148","0.0000210417","0.0000015273","0.0000019128","0.0000007602","","0","","0","0","0","","2071.5307770228"
"2024-06-01","1058.8954638883","708.0222376663","180.768","40.556411442","56.2530055996","10.2958981708","8.8993883631","12.2923208079","8.0953627695","9.7535812","4.8","1.3191262125","0.4414838891","0.3110970024","0.1623250008","0.01","0","0.000046","0.0000012","0","0.0000014349","0.0000010136","","0","","0","0","","","2100.8757516608"
"2024-06-02","1058.9853042376","698.9113693358","180.768","40.5566455246","56.2530055403","10.4441411389","8.8585014828","12.2423339353","8.0083762584","9.6630656","4.8","1.3191042409","0.4414844184","0.3110970024","0.1623250008","0.01","0","0.000048","0.0000012","0","0.0000019128","0.0000010136","","0","","0","0","","","2091.7348058426"
"2024-06-03","1060.4064473561","704.3791486437","180.768","40.5567556632","56.2530053333","10.8328074582","8.9075789559","12.3242876343","8.1800119979","9.6613328","4.8","1.3190572169","0.4416413855","0.3115800024","0.1620750008","0.01","0","0.000086","0.0000150376","0.00000243","0.0000019128","0.0000007602","","0","","0","0","","","2099.3138355888"
