"Service","EC2-Other($)","EC2-Instances($)","VPC($)","Elastic Load Balancing($)","Directory Service($)","Elastic Container Service for Kubernetes($)","Key Management Service($)","EC2 Container Registry (ECR)($)","CloudWatch($)","DynamoDB($)","Secrets Manager($)","Elastic File System($)","S3($)","Backup($)","Relational Database Service($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Systems Manager($)","Lambda($)","SNS($)","Athena($)","SQS($)","Direct Connect($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","CloudWatch Events($)","Total costs($)"
"2024-05-21","22.6390196569","35.9460888552","12.0866723394","6.9590675852","3.3220126331","2.4","1.179704304","0.5020221969","0.5742403688","0.5000504706","0.4176432264","0.1283351156","0.0466451669","0.0821743345","0.150913812","0.05","","0","","0.0003976789","0.0000009564","","0.0000096","","0.0000019128","0.0000007602","","0","0","","","86.9850009738"
"2024-05-22","35.8447647807","39.2324613354","11.9443063238","6.9645306487","3.4232809918","2.4","1.180151304","0.5415736914","0.5742403863","0.5058484577","0.4191282264","0.3308497452","0.076192357","0.0821743343","0.150913812","0.05","","0","","0.0004105893","0.0000203252","","0.0000096","","0.0000014349","0.0000010136","","0","0","","","103.7208593577"
"2024-05-23","24.5161350772","38.6314441046","11.9091123339","6.9639602981","3.3443009833","2.4","1.179704304","0.5768230142","0.5742405215","0.4649067723","0.4179032264","0.1371301996","0.0638271746","0.082174334","0.150913812","0.04","","0","","0.0003904627","0.0000007538","","0.0000096","","0.0000019128","0.0000007602","","0","0","","","91.4529796452"
"2024-05-24","30.5329671479","34.6174878466","11.9226374534","6.963675839","3.4034509641","2.4","1.177097304","0.595964723","0.5742404199","0.9020870662","0.4199032264","0.1680252749","0.0572893897","0.0821743361","0.150913812","0.04","","0","","0.0004010527","0.0000019285","","0.0000088","","0.0000019128","0.0000010136","","0","0","","","94.0083295108"
"2024-05-25","22.4542707653","27.087206037","11.8402657449","6.9515474516","3.3548027139","2.4","1.176638304","0.604061172","0.5742413031","0.5646094537","0.4170832264","0.1399672269","0.0372353758","0.0821938621","0.150913812","0.04","","0.0014","","0.0004217443","0.0000006531","","0.0000084","","0.0000014349","0.0000007602","","0","0","","","77.8768694412"
"2024-05-26","22.1029636231","26.6080614033","11.8400267755","6.9519070685","3.3491384109","2.4","1.179830304","0.604061172","0.5742420907","0.4987834295","0.4172482264","0.1398492867","0.0354946322","0.0821938621","0.150913812","0.04","","0.0014","","0.0004413249","0.0000006531","","0.0000088","","0.0000014349","0.0000010136","","0","0","","","76.9765673234"
"2024-05-27","32.2077329509","30.9258523073","11.9483657311","6.9660049881","3.2971414195","2.4","1.180289304","0.6215897528","0.5746827828","1.2940649776","0.4191182264","0.1644900073","0.060159947","0.082213745","0.150913812","0.04","","0.0014","","0.0004467398","0.0000016613","","0.0000084","","0.0000019128","0.0000007602","","0","0","","","92.3344794259"
"2024-05-28","27.6744329535","31.0364802771","11.9811708231","6.9625040014","3.4445541669","2.4","1.179848304","0.6428844082","0.5742429196","1.4431520672","0.4173532264","0.1464389003","0.0574712717","0.0822137479","0.150913812","0.04","","0.0014","","0.00043524","0.0000003171","","0.0000076","","0.0000019128","0.0000010136","","0","0","","","88.2355069628"
"2024-05-29","28.3584068842","32.5558658314","12.1449766835","7.1484286608","3.3485142638","2.4","1.180271304","0.6540971588","0.57424282","6.2183472592","0.4180082264","0.3899126319","0.1249260763","0.082252376","0.150913812","0.04","","0.0014","","0.0004569117","0.0000006205","","0.0000096","","0.0000014349","0.0000010136","","0","0","","","95.791033569"
"2024-05-30","25.9498859763","31.2869520127","12.2009672263","6.9613331307","3.3061528113","2.4","1.179830304","0.6609666314","0.5742428376","1.422040264","0.4173532264","0.2024412571","0.1926739412","0.082349829","0.150913812","0.04","","0.0014","","0.0004353235","0.0001216673","","0.0000084","","0.0000019128","0.0000007602","","0","0","","","87.0300713238"
"2024-05-31","26.8615640754","30.8143080706","12.1988106917","6.9617898054","3.3318943002","2.4","1.180271304","0.6686432995","0.5742428568","3.0966698052","0.4169682264","0.1565780349","0.1908183535","0.0824013155","0.150913812","0.04","","0.0007","","0.0004498288","0.0000006531","","0.0000084","","0.0000014349","0.0000010136","","0","0","","","89.1270352815"
"2024-06-01","23.3942527609","26.0624797323","12.2581019279","6.9547802613","3.497834472","2.4","1.2157860096","0.6952174704","0.4933754975","0.8123930432","0.4308466672","0.2126530537","0.1681697648","0.0851480256","0.155944272","0.04","0.2","0","","0.0000141742","0.0000040959","","0.0000092","","0.0000019128","0.0000007602","","0","0","","","79.0770131015"
"2024-06-02","23.2916348418","26.4570291533","12.215561303","6.9578952684","3.2540152556","2.4","1.2184140096","0.6952174704","0.5933822131","0.5525057784","0.4307266672","0.1562482622","0.1685463674","0.0851480256","0.155944272","0.03","","0","","0.0002156236","0.000000436","","0.000008","","0.0000019128","0.0000010136","","0","0","","","78.662495874"
"2024-06-03","24.7069162267","30.6328694293","12.0515342962","6.9574616572","3.4513709418","2.4","1.2184140096","0.6984645411","0.5938229054","1.2431059673","0.4302666672","0.1552779014","0.1857919076","0.0851465919","0.155944272","0.04","","0","","0.0004141959","0.0000007847","","0.0000096","","0.0000014349","0.0000007602","","0","0","","","85.0068140904"
"2024-06-04","24.0792526859","30.7699130208","11.9903911408","6.955936724","3.3296086832","2.4","1.2182790096","0.7003161384","0.59338301","1.8153224161","0.4307166672","0.1523823739","0.1847621052","0.0851456471","0.155944272","0.07","","0","","0.0004781806","0.0000008126","","0.000008","","0.0000019128","0.0000010136","","0","0","","","84.9318438138"
"2024-06-05","25.0619261391","30.3117341912","12.0054109556","6.957431279","3.3684804611","2.4","1.2181230096","0.7032570062","0.593383029","1.2367641591","0.4305566672","0.1570057597","0.1821897038","0.0851213461","0.155944272","0.04","","0","","0.0004085309","0.0000007657","","0.0000072","","0.0000014349","0.0000010136","","0","0","","","84.9077469238"
"2024-06-06","23.6078635395","30.1509624294","12.091994727","6.9560868155","3.2696360472","2.4","1.2171000096","0.7047154272","0.5933830484","1.2123251514","0.4297366672","0.1539778376","0.1809195355","0.0851253636","0.155944272","0.04","","0","","0.0004693409","0.0000006532","","0.0000076","","0.0000019128","0.0000007602","","0","0","","","83.2502511382"
"2024-06-07","23.5219339099","30.6551525482","12.2064567384","6.9587285591","3.4828067749","2.4","1.2160830096","0.7052855516","0.593383239","2.8043087256","0.4307216672","0.1548300454","0.1836491805","0.0851355843","0.155944272","0.04","","0","","0.0004528828","0.0000016671","","0.0000076","","0.0000014349","0.0000010136","","0","0","","","85.5948844041"
"2024-06-08","23.2838842959","30.462673241","12.2237816767","6.9537496453","3.2494942278","2.4","1.2159270096","0.7056553944","0.5933825807","1.2694832153","0.4296916672","0.1549331473","0.1811719743","0.0851348649","0.155944272","0.04","","0","","0.000446643","0.0000006532","","0.000008","","0.0000019128","0.0000007602","","0","0","","","83.4053651816"
"2024-06-09","22.7064288115","30.4304205607","12.3697110921","6.9539471547","3.3616492388","2.4","1.2162240096","0.7056553944","0.593382599","2.2520579465","0.4308616672","0.1579498865","0.1801118997","0.0851348649","0.155944272","0.04","","0","","0.0004540687","0.0000007657","","0.0000064","","0.0000014349","0.0000010136","","0","0","","","84.0399430805"
"2024-06-10","24.5947833258","30.65129377","12.3245895994","6.9585209333","3.3386855641","2.4","1.2162240096","0.7056553944","0.593823292","2.9893399593","0.4124138894","0.1586849024","0.1835012546","0.0851172574","0.155944272","0.04","","0","","0.0004692849","0.0000007813","","0.0000072","","0.0000014349","0.0000007602","","0","0","","","86.809056885"
