"Service","EC2-Instances($)","EC2-Other($)","S3($)","Elastic Load Balancing($)","Network Firewall($)","CloudWatch($)","VPC($)","Elastic File System($)","ElastiCache($)","Elastic Container Service for Kubernetes($)","Route 53($)","Directory Service($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","DynamoDB($)","Key Management Service($)","Direct Connect($)","Lambda($)","Backup($)","Athena($)","SQS($)","Cost Explorer($)","OpenSearch Service($)","Service Catalog($)","SNS($)","Systems Manager($)","Simple Workflow Service($)","Step Functions($)","Glacier($)","CloudShell($)","CloudTrail($)","Glue($)","X-Ray($)","CloudFormation($)","Certificate Manager($)","Total costs($)"
"2024-06-04","925.0042118941","845.8131245834","51.6332928233","48.4460931672","71.1674754506","14.5653007461","17.3495282827","5.8447384325","7.776","4.8","5.599958","3.3289554277","1.7939649615","1.8821716664","0.7644082757","0.6442773384","2.0429569763","0.495434224","0.3671022215","0.151965","0.4113824","0.07","","0","0.0001186001","","0.0000014349","0.0000010136","","","0","0","","","","2009.95246292"
"2024-06-05","953.183320966","862.1288096826","52.7307770284","50.231682506","84.1665258761","14.8813347727","17.5899147397","6.0674567735","7.776","4.8","5.675102","3.3691496417","1.8072862146","2.0048716664","0.7680968351","0.6442893384","2.0558515709","0.4474268029","0.3675473796","0.15476","0.3395124","0.03","","0","0.0001203048","","0.0000019128","0.0000007602","","","0","0","","","","2071.2198391724"
"2024-06-06","934.7478351292","853.7178261201","52.7161369198","50.1694814445","73.5774092391","14.9141992484","17.8228255711","6.0101165452","7.776","4.8","5.6129052","3.269813439","1.8148727845","1.9812966664","0.7614245535","0.6430023384","2.0252163099","0.4892102226","0.36800877","0.15751","0.352146","0.04","","0","0.0001168577","","0.0000014349","0.0000007602","","","0","0","","","","2033.7673555545"
"2024-06-07","941.8176474927","856.9403312167","52.9294644631","50.6279998071","73.3215002312","14.4078027225","17.8657976394","6.064555227","7.776","4.8","7.1609488","3.4823222585","1.8214911497","1.9853066664","0.7667309248","0.6427563384","2.0603150831","0.4729200164","0.3685239275","0.16027","0.38422","0.04","","0","0.0001127416","","0.0000019128","0.0000010136","","","0","0","","","","2045.8970196325"
"2024-06-08","943.8708244409","847.6757365341","53.6489636333","48.2861243819","64.364934162","13.8006031297","18.1361773409","5.9843406004","7.776","4.8","5.3137928","3.2503236304","1.8238313835","2.1205866664","0.772324484","0.6427563384","2.0394278464","0.3549633158","0.3689469182","0.163015","0.3619548","0.04","","0","0.0001191507","","0.0000014349","0.0000010136","","","0","0","","","","2025.5957490055"
"2024-06-09","937.9055896393","842.6662360125","53.6445808356","45.1026002153","61.1207400091","13.4738886891","17.9390860332","5.8937669925","7.776","4.8","4.9969612","3.3607751723","1.8241544304","2.2430266664","0.782726917","0.6427563384","2.0533185156","0.3804088189","0.3693258624","0.165425","0.3743844","0.04","","0","0.0001133918","","0.0000019128","0.0000007602","","","0","0","","","","2007.5558678128"
"2024-06-10","950.242078705","854.7912830036","54.1118191584","52.7046506249","72.7995157543","14.7018274503","17.829647115","6.1557646228","7.776","4.8","5.5820276","3.4093858166","1.8262686184","2.3679066664","0.7886674511","0.6427623384","1.9760247446","0.5711534322","0.3696910881","0.16779","0.3737444","0.04","","0","0.0001209534","","0.0000014349","0.0000010136","","","0","0","","","","2054.028131992"
"2024-06-11","940.1152154718","849.2481450882","54.5038291535","50.353165221","66.0081507743","14.7414007877","17.3861478426","6.2404321581","7.776","4.8","5.5525832","3.4017656167","1.8303559448","1.8568316664","0.7961435257","0.6427533384","2.0521345166","0.4946023203","0.3700977392","0.170825","0.2980076","0.04","","0","0.0001237742","","0.0000014349","0.0000007602","","","0","0","","","","2028.6787129346"
"2024-06-12","930.5138994611","854.8778143405","55.9943775272","49.8995975717","70.0464481509","14.4237478254","17.4790676894","6.3705354603","7.776","4.8","5.4846036","3.3426929278","1.8322330281","1.7086516664","0.7919691448","0.6427533384","2.085713797","0.4652221279","0.3704737942","0.17386","0.3722512","0.04","","0","0.0001316912","","0.0000019128","0.0000010136","","","0","0","","","","2029.4920472687"
"2024-06-13","931.7644388785","857.3511244921","56.0545291131","49.9389028866","70.672102424","14.5295753987","17.5426302252","6.3747969121","7.776","4.8","5.517542","3.3191216138","1.8349862063","1.7237616664","0.7910888039","0.6428223384","2.0509146877","0.5271880214","0.3708264298","0.176515","0.3773312","0.04","","0","0.0001204372","","0.0000014349","0.0000007602","","","0","0","","","","2034.1763209303"
