"Service","EC2-Instances($)","EC2-Other($)","VPC($)","Relational Database Service($)","S3($)","Elastic Container Service for Kubernetes($)","Elastic Load Balancing($)","CloudWatch($)","SQS($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","SNS($)","Cost Explorer($)","Service Catalog($)","Route 53($)","DynamoDB($)","Key Management Service($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","SES($)","Lambda($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-05-20","47.6745467784","10.3335554774","5.185253846","9.6105405228","0.1171447118","2.4","0.5737284888","1.1866944695","0.0018284","0.0942629024","0.0671398728","0","0.01","0","0.0002204","0.0213120504","0.002706","0.00000036","0.0000006003","0.0000040559","","","0","0","","77.2789389365"
"2024-05-21","47.6746544567","10.5506394498","5.1859118525","9.6141957915","0.1433658062","2.4","0.5739019654","1.1870976213","0.0079436","0.0944479024","0.0701634964","0","0.01","0","0.0004008","0.0213120504","0.002706","0.00000033","0.0000005742","0.0000040267","","","0","0","","77.5367457235"
"2024-05-22","47.6750057881","10.4123875501","5.1854953539","9.6023942254","0.1175940791","2.4","0.5737709774","1.1870974593","0.0035776","0.0941129024","0.071273652","0","0.01","0","0.0002032","0.0213120504","0.002706","0.000000329","0.0000006003","0.0000037338","","","0","0","","77.3569355012"
"2024-05-23","44.0430610612","10.3452692781","5.1855074054","9.6063359947","0.1175269443","2.4","0.5737763108","1.1870981938","0.0035896","0.0936679024","0.071273652","0","0.01","0","0.0003524","0.0213120504","0.002772","0.000000314","0.0000004959","0.0000040204","","","0","0","","73.6615476234"
"2024-05-24","43.0351297886","15.6573755256","5.1880088339","6.6179328447","0.8939970877","2.4","0.5741665735","1.1871043179","0.1602888","0.0927729024","0.0721578569","0","0.01","0","0.0004272","0.0213120504","0.002706","0.000000328","0.0000005481","0.000003909","","","0","0","","75.9133845667"
"2024-05-25","43.0347097085","10.3572307376","5.185215065","4.9180087063","0.1478353219","2.4","0.5737072811","1.187121777","0.0040776","0.0929529024","0.0726683376","0","0.01","0.0014","0.0000876","0.0213120504","0.002724","0.000000284","0.0000005481","0.0000038371","","","0","0","","68.009055757"
"2024-05-26","43.0348675111","10.3332899937","5.1851897832","4.8337894893","0.1453677871","2.4","0.5737181779","1.1870985353","0.0035628","0.0928879024","0.0726683376","0","0.01","0.0014","0.000106","0.0213120504","0.002898","0.000000299","0.0000004437","0.0000039155","","","0","0","","67.8981610262"
"2024-05-27","47.9573951489","23.6771084399","5.1868058528","5.5751949026","2.1341171575","2.4","0.5740274731","1.1870976338","0.4129888","0.0919729024","0.0735378417","0","0.01","0.0014","0.0002352","0.0213120504","0.002829","0.000000329","0.0000004959","0.0000038614","","","0","0","","89.3060270894"
"2024-05-28","54.9997430196","21.4614640622","5.1859160537","4.9830005984","1.2875280818","2.4","0.5738977687","1.1870986463","0.1964592","0.0926329024","0.0747723","0","0.01","0.0014","0.0006028","0.0213120504","0.002829","0.000000313","0.0000005481","0.0000038279","","","0","0","","92.4786611725"
"2024-05-29","52.0468046126","27.0367844739","5.1862678974","5.1170192559","2.1784153479","2.4","0.5738565386","1.1870975673","0.3793836","0.0940479024","0.0747723","0","0.01","0.0014","0.0003112","0.0213120504","0.002346","0.000000328","0.0000005481","0.0000031168","","","0","0","","96.3098227393"
