service_id,service_type,month,spend
30,Config,2025-03-01,2630.824
31,Textract,2024-04-01,6745.8096
31,Textract,2024-05-01,900.0405
31,Textract,2024-06-01,460.4985
31,Textract,2024-07-01,778.2045
31,Textract,2024-08-01,780.447
31,Textract,2024-09-01,1135.1775
31,Textract,2024-10-01,1558.1556
31,Textract,2024-11-01,1347.942
31,Textract,2024-12-01,1535.0604
31,Textract,2025-01-01,1614.4738
31,Textract,2025-02-01,1016.8485
31,Textract,2025-03-01,3456.7878
32,Transfer Family,2024-04-01,1512.0885
32,Transfer Family,2024-05-01,1751.6623
32,Transfer Family,2024-06-01,1927.6909
32,Transfer Family,2024-07-01,1862.1265
32,Transfer Family,2024-08-01,1562.7672
32,Transfer Family,2024-09-01,1545.5022
32,Transfer Family,2024-10-01,1785.8531
32,Transfer Family,2024-11-01,1728.256
32,Transfer Family,2024-12-01,1786.2912
32,Transfer Family,2025-01-01,1786.3965
32,Transfer Family,2025-02-01,1613.8986
32,Transfer Family,2025-03-01,1786.436
33,Athena,2024-04-01,2237.3142
33,Athena,2024-05-01,2123.8895
33,Athena,2024-06-01,2085.2994
33,Athena,2024-07-01,1756.0853
33,Athena,2024-08-01,1949.6956
33,Athena,2024-09-01,1952.9007
33,Athena,2024-10-01,2060.585
33,Athena,2024-11-01,1893.8993
33,Athena,2024-12-01,1646.5125
33,Athena,2025-01-01,790.9416
33,Athena,2025-02-01,685.5418
33,Athena,2025-03-01,724.4187
34,Rekognition,2024-04-01,1051.8632
34,Rekognition,2024-05-01,1190.1932
34,Rekognition,2024-06-01,1154.9782
34,Rekognition,2024-07-01,1412.9979
34,Rekognition,2024-08-01,1541.0497
34,Rekognition,2024-09-01,1636.8595
34,Rekognition,2024-10-01,1825.1122
34,Rekognition,2024-11-01,1850.1537
34,Rekognition,2024-12-01,2018.6277
34,Rekognition,2025-01-01,2053.3305
34,Rekognition,2025-02-01,1663.6315
34,Rekognition,2025-03-01,1927.6304
35,VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG),2024-04-01,1555.2
35,VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG),2024-05-01,1607.04
35,VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG),2024-06-01,1555.2
35,VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG),2024-07-01,1605.96
35,VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG),2024-08-01,1605.96
35,VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG),2024-09-01,1555.2
35,VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG),2024-10-01,1605.96
35,VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG),2024-11-01,1555.2
35,VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG),2024-12-01,1607.04
