account_id,service_name,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,total_cost
072401294672,Amazon Simple Storage Service,203.45,202.11,203.62,203.39,202.84,196.96,197.06,1409.43
072401294672,Amazon Relational Database Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
072401294672,Amazon DynamoDB,0.11,0.11,0.11,0.11,0.08,0.11,0.11,0.74
072401294672,AWS Key Management Service,0.52,0.52,0.52,0.51,0.41,0.51,0.51,3.5
072401294672,AWS Config,0.02,0.03,0.02,0.02,0.01,0.01,0.02,0.13
072401294672,AWS Step Functions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
072401294672,Amazon Route 53,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1
072401294672,AWS Cost Explorer,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.35
072401294672,Amazon ElastiCache,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.41
072401294672,Amazon Simple Queue Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
072401294672,Amazon Simple Workflow Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
075790327284,AmazonCloudWatch,4.82,4.82,4.83,4.8,3.78,3.55,5.51,32.11
075790327284,CloudWatch Events,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
075790327284,Amazon Virtual Private Cloud,32.87,32.85,32.84,32.82,26.03,33.07,33.22,223.7
075790327284,Amazon Simple Notification Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
075790327284,AWS Service Catalog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
075790327284,Amazon Elastic Load Balancing,189.04,185.64,188.15,189.55,186.55,213.55,222.53,1375.01
075790327284,AWS Systems Manager,0,4.28,0,0,0,0,0,4.28
075790327284,AWS CodeArtifact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
075790327284,Amazon Location Service,0,0,0,0,0.0,0,0,0.0
075790327284,AWS CloudTrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
075790327284,AWS Secrets Manager,0.73,0.72,0.73,0.7,0.58,0.7,0.7,4.86
